병원/약국명,병원/약국구분,전화번호,우편번호,소재지주소,홈페이지,addr_rep,latitude,longitude,시도명,시군구명
금강아산병원(재단법인 아산사회복지재단),병원,02-799-5000,4425.0,"서울특별시 용산구 이촌로 318, (이촌동)",www.asankeumkang.co.kr/,서울특별시 용산구 이촌로 318,37.5176798435221,126.98273008257,서울특별시,용산구
(의)열린의료재단 미아열린의원,의원,02-945-2305,1125.0,"서울특별시 강북구 도봉로 213, 하당빌딩 3,4층 (미아동)",,서울특별시 강북구 도봉로 213,37.6276013250761,127.025262715454,서울특별시,강북구
쌍문성모내과의원,의원,02-903-0875,1442.0,"서울특별시 도봉구 도봉로 511, 2~4층 (쌍문동)",,서울특별시 도봉구 도봉로 511,37.6510954076,127.035709218021,서울특별시,도봉구
서울현대병원,병원,02-1588-6853,1056.0,"서울특별시 강북구 도봉로 374, (번동, 서울현대병원)",www.seoulhyundai.co.kr/,서울특별시 강북구 도봉로 374,37.6402559204261,127.028504374531,서울특별시,강북구
서울대학교병원,상급종합,1588-5700,3080.0,"서울특별시 종로구 대학로 101, (연건동)",http://www.snuh.org,서울특별시 종로구 대학로 101,37.5804523853297,126.997196437908,서울특별시,종로구
서울케이(K)내과의원,의원,02-743-0875,3077.0,"서울특별시 종로구 창경궁로34길 18-5, 2,3층 (명륜2가)",,서울특별시 종로구 창경궁로34길 18-5,37.584120180365,127.000806442921,서울특별시,종로구
정릉아산내과의원,의원,02-910-7010,2710.0,"서울특별시 성북구 보국문로 33, 3층 302,303호 (정릉동)",,서울특별시 성북구 보국문로 33,37.6073770418433,127.010124841427,서울특별시,성북구
의료법인한전의료재단 한일병원,종합병원,02-901-3114,1450.0,"서울특별시 도봉구 우이천로 308, 한일병원 (쌍문동)",http://www.kepcomedi.co.kr,서울특별시 도봉구 우이천로 308,37.6466848477493,127.029058318974,서울특별시,도봉구
하늘내과의원,의원,02-2091-1500,1310.0,"서울특별시 도봉구 도봉로 759, 2, 3층 (도봉동)",,서울특별시 도봉구 도봉로 759,37.6723293932498,127.043686692857,서울특별시,도봉구
연세백세내과의원,의원,02-6933-3240,1081.0,"서울특별시 강북구 도봉로 295, 스타타워 3,4층 (수유동)",,서울특별시 강북구 도봉로 295,37.6349324947858,127.022926133447,서울특별시,강북구
사랑의병원,병원,02-880-0114,8789.0,"서울특별시 관악구 남부순환로 1860, -1,1,3,4,5층 (봉천동,  )",,서울특별시 관악구 남부순환로 1860,37.4796247835746,126.956285774259,서울특별시,관악구
중앙내과의원,의원,02-815-5385,6979.0,"서울특별시 동작구 서달로 166, 2층 (흑석동, 덕봉빌딩)",,서울특별시 동작구 서달로 166,37.5077644083105,126.962881274043,서울특별시,동작구
중앙대학교병원,상급종합,1800-1114,6973.0,"서울특별시 동작구 흑석로 102, (흑석동)",http://ch.cauhs.or.kr/,서울특별시 동작구 흑석로 102,37.506038005044,126.960421779226,서울특별시,동작구
호내과의원,의원,02-882-0875,8744.0,"서울특별시 관악구 관악로 217, 5층 (봉천동, 동진빌딩)",http://blog.daum.net/ho0875,서울특별시 관악구 관악로 217,37.4843787109112,126.954677353454,서울특별시,관악구
손승환내과의원,의원,02-877-8794,8786.0,"서울특별시 관악구 남부순환로 1794, (봉천동)",,서울특별시 관악구 남부순환로 1794,37.4813134777755,126.949349036309,서울특별시,관악구
연세세림내과의원,의원,02-706-1199,4317.0,"서울특별시 용산구 효창원로 140, 자산빌딩 2,3층 (효창동)",,서울특별시 용산구 효창원로 140,37.5403150904039,126.96199433756,서울특별시,용산구
서울삼성내과의원,의원,02-365-1478,4517.0,"서울특별시 중구 통일로 114, 바비엥-2 2층 201-208호 (의주로1가)",http://www.renalmed.kr,서울특별시 중구 통일로 114,37.5652419713173,126.967932658604,서울특별시,중구
염문선내과의원,의원,02-392-0077,4202.0,"서울특별시 마포구 마포대로24길 56, 3층, 4층 (아현동, 보령빌딩)",http://www.ymsclinic.co.kr/,서울특별시 마포구 마포대로24길 56,37.5515443016696,126.961901271005,서울특별시,마포구
강북삼성병원,상급종합,02-2001-2001,3181.0,"서울특별시 종로구 새문안로 29, (평동)",http://www.kbsmc.co.kr,서울특별시 종로구 새문안로 29,37.5688677261045,126.967812703696,서울특별시,종로구
서울적십자병원,종합병원,02-2002-8000,3181.0,"서울특별시 종로구 새문안로 9, 적십자병원 (평동)",http://www.srch.or.kr,서울특별시 종로구 새문안로 9,37.5667630123693,126.967202493985,서울특별시,종로구
의료법인사랑나눔의료재단에보스의원,의원,02-363-2664,3742.0,"서울특별시 서대문구 서소문로 21, 충정타워빌딩 2층 (충정로3가)",,서울특별시 서대문구 서소문로 21,37.5598942603947,126.964085809305,서울특별시,서대문구
연세유내과의원,의원,02-701-5131,4170.0,"서울특별시 마포구 도화길 32, 201호 (도화동, 삼성아파트상가동)",www.yonsei-u.net/,서울특별시 마포구 도화길 32,37.5408411321685,126.949581942072,서울특별시,마포구
유영조내과의원,의원,02-826-8575,6937.0,"서울특별시 동작구 등용로 2, 2층 (상도동, 덕신빌딩)",,서울특별시 동작구 등용로 2,37.504624263051,126.937875816673,서울특별시,동작구
의료법인서울효천의료재단 에이치플러스양지병원,종합병원,02-1877-8875,8779.0,"서울특별시 관악구 남부순환로 1636, 양지병원 (신림동)",http://www.newyjh.com,서울특별시 관악구 남부순환로 1636,37.4843693309109,126.932565485407,서울특별시,관악구
신림연세정내과의원,의원,02-813-0808,8777.0,"서울특별시 관악구 신림로 318, 3층 (신림동, 청암두산위브센티움)",,서울특별시 관악구 신림로 318,37.4825754320038,126.930252917369,서울특별시,관악구
최희정내과의원,의원,02-883-8500,8754.0,"서울특별시 관악구 신림로 350, 6층 (신림동, 서원프라자, 태영아파트)",http://kidney-dr.co.kr/,서울특별시 관악구 신림로 350,37.4855072234589,126.929948753311,서울특별시,관악구
가톨릭대학교 여의도성모병원,종합병원,1661-7575,7345.0,"서울특별시 영등포구 63로 10, 여의도성모병원 (여의도동)",http://www.cmcujb.or.kr/,서울특별시 영등포구 63로 10,37.5182708055078,126.936729826762,서울특별시,영등포구
이한규내과의원,의원,02-6951-1577,8708.0,"서울특별시 관악구 봉천로 227-0, 201,202호 (봉천동, 보라매샤르망)",,서울특별시 관악구 봉천로 227-0,37.4900315434017,126.927117551199,서울특별시,관악구
예일성모내과의원,의원,02-813-0075,7060.0,"서울특별시 동작구 보라매로19길 8, 5,6층 (신대방동)",,서울특별시 동작구 보라매로19길 8,37.4979986491213,126.927479828149,서울특별시,동작구
정병천내과의원,의원,02-868-5858,8773.0,"서울특별시 관악구 남부순환로 1550, (신림동)",,서울특별시 관악구 남부순환로 1550,37.4830376494507,126.92286058781,서울특별시,관악구
더맑은내과의원,의원,02-312-7400,4104.0,"서울특별시 마포구 신촌로 162, 캠프21 오피스텔 1층 (대흥동)",http://www.thecleanclinic.com,서울특별시 마포구 신촌로 162,37.556319439695,126.943716084745,서울특별시,마포구
서울특별시보라매병원,종합병원,02-870-2114,7061.0,"서울특별시 동작구 보라매로5길 20, (신대방동)",http://www.brmh.org,서울특별시 동작구 보라매로5길 20,37.493013748157,126.924332456243,서울특별시,동작구
연세대학교의과대학세브란스병원,상급종합,02-2228-0114,3722.0,"서울특별시 서대문구 연세로 50-1, (신촌동)",http://www.yuhs.or.kr,서울특별시 서대문구 연세로 50-1,37.563674036531,126.941917689273,서울특별시,서대문구
연세우리내과의원,의원,02-334-7560,4100.0,"서울특별시 마포구 백범로 10, 101,201호 (노고산동, 현대벤쳐빌)",,서울특별시 마포구 백범로 10,37.553555553783,126.936799599138,서울특별시,마포구
성애의료재단 성애병원,종합병원,02-840-7114,7354.0,"서울특별시 영등포구 여의대방로53길 22, (신길동, 성애병원)",http://www.sungae.co.kr,서울특별시 영등포구 여의대방로53길 22,37.5120505408562,126.922369145801,서울특별시,영등포구
정동균내과의원,의원,701-3415,4100.0,"서울특별시 마포구 서강로 132, (노고산동)",,서울특별시 마포구 서강로 132,37.5538462178158,126.935470953428,서울특별시,마포구
관악플러스내과의원,의원,02-868-4488,8771.0,"서울특별시 관악구 난곡로 299, 5,6층 (신림동, 성안빌딩)",,서울특별시 관악구 난곡로 299,37.4806780051365,126.914368780839,서울특별시,관악구
서울우리내과의원,의원,02-843-1675,7392.0,"서울특별시 영등포구 신풍로 113, 5,6,7층 (신길동, 시월빌딩)",,서울특별시 영등포구 신풍로 113,37.5001399657337,126.918867891098,서울특별시,영등포구
세신내과의원,의원,02-733-0811,3729.0,"서울특별시 서대문구 모래내로 460, 홍제그린빌라상가 1층 (홍제동)",,서울특별시 서대문구 모래내로 460,37.5854155984982,126.945946557797,서울특별시,서대문구
김홍열내과의원,의원,805-6124,8627.0,"서울특별시 금천구 금하로 651, 2,3층 (시흥동)",,서울특별시 금천구 금하로 651,37.4540878121604,126.903370345928,서울특별시,금천구
전로원내과의원,의원,02-847-6123,7068.0,"서울특별시 동작구 시흥대로 664, 5,6층 (신대방동)",,서울특별시 동작구 시흥대로 664,37.4906941108669,126.908428005132,서울특별시,동작구
희명병원,종합병원,02-804-0002,8626.0,"서울특별시 금천구 시흥대로 244, (시흥동)",http://www.hopehp.co.kr,서울특별시 금천구 시흥대로 244,37.4556715356456,126.900562517447,서울특별시,금천구
의료법인동신의료재단 동신병원,종합병원,02-396-9161,3653.0,"서울특별시 서대문구 연희로 272, 동신병원 본관동 (홍은동)",http://www.dshospital.co.kr,서울특별시 서대문구 연희로 272,37.5811060838344,126.936583290985,서울특별시,서대문구
한림대학교 강남성심병원,종합병원,02-829-5114,7441.0,"서울특별시 영등포구 신길로 1, (대림동, 강남성심병원)",http://kangnam.hallym.or.kr,서울특별시 영등포구 신길로 1,37.4932489151953,126.90877588456,서울특별시,영등포구
독산내과의원,의원,02-855-3482,8537.0,"서울특별시 금천구 남부순환로 1372, (독산동)",,서울특별시 금천구 남부순환로 1372,37.4794589203551,126.903472790688,서울특별시,금천구
의료법인 열린의료재단 서교의원,의원,02-323-4477,4039.0,"서울특별시 마포구 홍익로 25, 4층 (서교동)",,서울특별시 마포구 홍익로 25,37.5544056031357,126.921965798065,서울특별시,마포구
금천주내과의원,의원,02-803-0222,8613.0,"서울특별시 금천구 시흥대로73길 67, 엠메디컬타워 3층 303~307호 (시흥동)",,서울특별시 금천구 시흥대로73길 67,37.4559425553098,126.895747370219,서울특별시,금천구
맑은남내과의원,의원,02-865-5590,8545.0,"서울특별시 금천구 시흥대로 426, 3층 (독산동, 영진빌딩)",,서울특별시 금천구 시흥대로 426,37.4715689911066,126.89877216735,서울특별시,금천구
제일성모내과의원,의원,02-857-0005,8391.0,"서울특별시 구로구 시흥대로 561, 동해빌딩 3층 (구로동)",,서울특별시 구로구 시흥대로 561,37.4832605046509,126.901242115542,서울특별시,구로구
서울본내과의원,의원,02-3143-2220,4032.0,"서울특별시 마포구 양화로 133, 서교타워 3,5,18층 (서교동)",,서울특별시 마포구 양화로 133,37.55523107395,126.920982708821,서울특별시,마포구
이호영내과의원,의원,02-322-7217,4033.0,"서울특별시 마포구 양화로 115, 3층 (서교동, 천지빌딩)",http://leekidney.co.kr,서울특별시 마포구 양화로 115,37.5541193057015,126.919475195778,서울특별시,마포구
(의) 열린의료재단 영등포열린의원,의원,02-2676-0832,7305.0,"서울특별시 영등포구 경인로 841, 영등포우체국 4,5층 (영등포동4가)",,서울특별시 영등포구 경인로 841,37.5165301858178,126.90604309721,서울특별시,영등포구
연세푸른내과의원,의원,842-0875,7370.0,"서울특별시 영등포구 도신로 89, 2,3층 (도림동)",,서울특별시 영등포구 도신로 89,37.507273849528,126.902095954101,서울특별시,영등포구
강북삼성내과의원,의원,02-354-1700,3472.0,"서울특별시 은평구 은평로 200-1, 가동 201호 (응암동, 삼영빌딩)",http://gbsim.co.kr/index.asp,서울특별시 은평구 은평로 200-1,37.6011336684453,126.929999928224,서울특별시,은평구
연세정수영내과의원,의원,02-336-1616,4013.0,"서울특별시 마포구 월드컵로 73, 4층 (망원동)",,서울특별시 마포구 월드컵로 73,37.5554229661709,126.910357684549,서울특별시,마포구
연세희망내과의원,의원,02-376-0875,3712.0,"서울특별시 서대문구 수색로 40, 4층 (남가좌동)",,서울특별시 서대문구 수색로 40,37.5700057548194,126.914341099739,서울특별시,서대문구
아산진내과의원,의원,02-2633-3900,7213.0,"서울특별시 영등포구 당산로 223, 4층 (당산동5가)",,서울특별시 영등포구 당산로 223,37.5337352481764,126.901161001392,서울특별시,영등포구
연세큰숲내과의원,의원,02-2038-8270,3358.0,"서울특별시 은평구 통일로 742, 한화빌딩 4,5층 일부호 (불광동)",,서울특별시 은평구 통일로 742,37.6118291183667,126.929364603214,서울특별시,은평구
연세노블병원,병원,02-384-0009,3459.0,"서울특별시 은평구 서오릉로 37, (녹번동)",http://www.ysnoble.co.kr/,서울특별시 은평구 서오릉로 37,37.6040399058057,126.924452636345,서울특별시,은평구
(의)열린의료재단 구로열린의원,의원,02-861-4658,8301.0,"서울특별시 구로구 구로중앙로 68, 208, 209, 210호 (구로동, 신안타워)",,서울특별시 구로구 구로중앙로 68,37.495860314768,126.888807280468,서울특별시,구로구
더케이내과의원,의원,02-6734-0511,8307.0,"서울특별시 구로구 가마산로 232, 1층 (구로동, 스페스큐브)",,서울특별시 구로구 가마산로 232,37.4937888506208,126.886762356034,서울특별시,구로구
편한연세내과의원,의원,02-373-3100,3457.0,"서울특별시 은평구 응암로 235, 3층 (응암동, 대성빌딩)",,서울특별시 은평구 응암로 235,37.5930153082521,126.917609392344,서울특별시,은평구
고려대학교의과대학부속구로병원,상급종합,02-2626-1114,8308.0,"서울특별시 구로구 구로동로 148, 고려대부속구로병원 (구로동)",http://guro.kumc.or.kr/main/index.do,서울특별시 구로구 구로동로 148,37.4911503253664,126.884511034177,서울특별시,구로구
대명앰알씨티의원,의원,02-2633-0007,7208.0,"서울특별시 영등포구 양평로 99, 지하1,2-5층 (양평동4가)",http://www.dmhospital.kr,서울특별시 영등포구 양평로 99,37.5364773083686,126.89607164408,서울특별시,영등포구
(의) 열린의료재단 연신내열린의원,의원,02-383-7313,3330.0,"서울특별시 은평구 통일로 861, 범일빌딩 6층 (갈현동)",,서울특별시 은평구 통일로 861,37.61980506305,126.920232187544,서울특별시,은평구
(의) 열린의료재단 은평열린의원,의원,02-354-7168,3412.0,"서울특별시 은평구 서오릉로 145, 상원빌딩 4층 (구산동)",,서울특별시 은평구 서오릉로 145,37.611286414672,126.916477274153,서울특별시,은평구
휴림내과의원,의원,02-358-2500,3333.0,"서울특별시 은평구 연서로 209, JC빌딩 4층 (갈현동)",,서울특별시 은평구 연서로 209,37.6173259520379,126.918847427928,서울특별시,은평구
정재면내과의원,의원,02-2675-0876,8212.0,"서울특별시 구로구 경인로 565, 삼영빌딩 4,5층 (구로동)",,서울특별시 구로구 경인로 565,37.503639878923,126.879713872189,서울특별시,구로구
이화여자대학교의과대학부속목동병원,상급종합,02-2650-5114,7985.0,"서울특별시 양천구 안양천로 1071, (목동)",http://www.eumc.ac.kr/mokdong/,서울특별시 양천구 안양천로 1071,37.5369818505985,126.886743916495,서울특별시,양천구
김성남내과의원,의원,02-2655-2500,7984.0,"서울특별시 양천구 목동동로 435, 305~309호 (목동, 화성프라자)",,서울특별시 양천구 목동동로 435,37.5373858477879,126.884868815732,서울특별시,양천구
연세윤내과의원,의원,02-351-9600,3306.0,"서울특별시 은평구 진관3로 20, 4,5층 (진관동, sw메디컬빌딩)",,서울특별시 은평구 진관3로 20,37.6389140677896,126.918896464275,서울특별시,은평구
가톨릭대학교 은평성모병원,종합병원,02-1811-7755,3312.0,"서울특별시 은평구 통일로 1021, (진관동)",http://www.cmcep.or.kr/,서울특별시 은평구 통일로 1021,37.6336094022541,126.916152525534,서울특별시,은평구
구로성심병원,종합병원,02-2067-1500,8223.0,"서울특별시 구로구 경인로 427, 구로성심병원 (고척동)",,서울특별시 구로구 경인로 427,37.4996468654605,126.866358244952,서울특별시,구로구
홍익병원,종합병원,02-2693-5555,7937.0,"서울특별시 양천구 목동로 225, 홍익병원본관 (신정동)",www.hih.or.kr/,서울특별시 양천구 목동로 225,37.5284817220954,126.863640511323,서울특별시,양천구
연세진내과의원,의원,02-2063-7575,7552.0,"서울특별시 강서구 양천로 606, (등촌동)",,서울특별시 강서구 양천로 606,37.555193002514,126.865202758265,서울특별시,강서구
새본내과의원,의원,02-2649-0875,7668.0,"서울특별시 강서구 등촌로 183, 2층 (등촌동, 세스빌딩)",,서울특별시 강서구 등촌로 183,37.5462537856239,126.862263586062,서울특별시,강서구
연세내과의원,의원,02-2606-0833,8026.0,"서울특별시 양천구 중앙로 294, (신정동, 명성빌딩)",,서울특별시 양천구 중앙로 294,37.5225662999628,126.852048644467,서울특별시,양천구
맑은미소내과의원,의원,02-2608-8275,7778.0,"서울특별시 강서구 강서로 27, 화곡 심포니 타워 402, 602~4호 (화곡동)",,서울특별시 강서구 강서로 27,37.5303651480517,126.847206208517,서울특별시,강서구
세연투섬내과의원,의원,02-3661-3714,7548.0,"서울특별시 강서구 양천로 500, 205~207호 (등촌동, 노블리움)",http://two-some.co.kr,서울특별시 강서구 양천로 500,37.5605371784027,126.855531211014,서울특별시,강서구
부민병원,종합병원,1577-7582,7590.0,"서울특별시 강서구 공항대로 389, 부민병원 (등촌동)",http://www.bumin.co.kr/seoul,서울특별시 강서구 공항대로 389,37.5568628399174,126.850904790759,서울특별시,강서구
연세정성내과의원,의원,02-2692-2990,7686.0,"서울특별시 강서구 화곡로 301, 원풍빌딩 4층 (화곡동)",,서울특별시 강서구 화곡로 301,37.5512887316459,126.848779415926,서울특별시,강서구
이동훈내과의원,의원,02-3662-8242,7527.0,"서울특별시 강서구 양천로57길 9-7, 301호 (가양동, 청계빌딩)",www.ldhmedclinic.com/,서울특별시 강서구 양천로57길 9-7,37.5634032951544,126.851432217142,서울특별시,강서구
서울특별시서남병원,종합병원,1566-6688,8049.0,"서울특별시 양천구 신정이펜1로 20, (신정동)",,서울특별시 양천구 신정이펜1로 20,37.5120203521684,126.833131511699,서울특별시,양천구
도울내과의원,의원,02-2604-3923,7714.0,"서울특별시 강서구 화곡로 161, 301호 (화곡동, 대성빌딩)",http://www.helpdc.kr/,서울특별시 강서구 화곡로 161,37.5418323076538,126.839166396503,서울특별시,강서구
(의)열린의료재단 예인의원,의원,02-3661-7582,7573.0,"서울특별시 강서구 양천로 366, 5,6층 (가양동, 미라클빌딩)",,서울특별시 강서구 양천로 366,37.5672306850318,126.842911175186,서울특별시,강서구
늘푸른내과의원,의원,02-3661-7533,7591.0,"서울특별시 강서구 강서로 380, 세민빌딩 4,5층 (등촌동)",,서울특별시 강서구 강서로 380,37.5594884014712,126.83887821316,서울특별시,강서구
이화여자대학교의과대학부속서울병원,종합병원,1522-7000,7804.0,"서울특별시 강서구 공항대로 260, 이화의대부속서울병원 (마곡동)",,서울특별시 강서구 공항대로 260,37.5572628621214,126.836266829117,서울특별시,강서구
메디힐병원,병원,02-2604-7551,7905.0,"서울특별시 양천구 남부순환로 331, (신월동, 메디힐병원)",http://www.mediheal.co.kr,서울특별시 양천구 남부순환로 331,37.5372613394638,126.827841386792,서울특별시,양천구
우리연세내과의원,의원,02-2666-3975,7604.0,"서울특별시 강서구 방화동로 126, 2층 208,210~213호 (방화동, 삼정아파트)",,서울특별시 강서구 방화동로 126,37.5719786307152,126.811895300805,서울특별시,강서구
은평성모내과의원,의원,02-6378-7500,,서울 은평구 증산로 371 은평신용협동조합 3층 (신사동),https://www.epsungmo.co.kr/,서울 은평구 증산로 371 은평신용협동조합 3층 (신사동),37.5895376912069,126.912885066283,서울,은평구
홍제우리내과의원,의원,0507-1483-5434,,서울 서대문구 통일로35길 14-4 제니스 오피스텔 2층 201호,https://blog.naver.com/hongjewoorihosp,서울 서대문구 통일로35길 14-4 제니스 오피스텔 2층 201호,37.5865491833974,126.945849840406,서울,서대문구
